2017-08-10,0.0,0.0,0.0,-0.054,0.0,-0.0,0.0,0.0,0.0,0.0,0.282,0.0,-0.016,0.032,-0.0,0.049,0.0,0.0,0.0,0.0,-0.028,0.0,-0.056,0.0,-0.006,0.0,0.257,0.0,-0.116,0.293,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.115,-0.0,0.0,-0.0,0.267,-0.007,0.0,0.0,0.143,0.0,0.008,0.0,0.0,0.0,0.0,-0.073,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.221,0.0,0.174,0.115,0.116,0.0,0.059,0.0,0.006,-0.09,0.0,0.01,0.0,0.402,0.0,-0.0,0.03,0.0,0.0,0.256,-0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,-0.0,0.054,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.032,0.003,-0.0,0.0,0.0,0.0,-0.237,-0.0,0.0,-0.08,0.0,0.0,-0.0,-0.0,0.0,0.016,-0.0,-0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.056,0.041,-0.0,-0.077,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.144,-0.0,-0.0,0.0,0.0,0.0,0.28,-0.073,0.0,-0.059,0.0,0.0,-0.0,-0.078,0.0,0.0,-0.0,-0.0,0.296,0.004,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.235,0.0,0.0,-0.048,-0.0,0.0,-0.0,0.0,0.0,0.0,0.041,0.0,-0.0,0.0,0.0,0.0,0.0,-0.041,-0.035,0.0,0.0,0.0,0.026,-0.0,-0.032,-0.0,0.0,-0.0,-0.0,-0.011,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.301,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.037,0.0,-0.03,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.132,0.0,-0.0,-0.042,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.024,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,598.212
2017-08-11,0.134,0.0,0.0,0.0,0.065,0.013,0.039,0.0,0.199,0.099,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.043,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.024,-0.043,0.0,0.0,0.0,0.0,0.0,0.202,0.1,-0.018,0.0,-0.033,0.0,0.0,0.12,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.178,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.012,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.121,0.084,0.0,-0.0,0.0,0.0,-0.039,0.0,0.12,-0.038,0.071,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.027,0.0,0.0,0.0,0.0,-0.004,0.0,0.0,-0.001,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.004,0.067,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.167,-0.0,0.0,-0.0,0.0,0.17,-0.0,0.003,0.0,0.0,0.011,0.0,0.0,0.024,0.184,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.067,0.149,0.0,-0.044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.204,0.158,0.126,0.0,0.0,0.0,0.0,0.0,0.0,-0.044,0.0,0.0,-0.0,0.0,0.0,0.017,-0.033,-0.033,0.089,0.0,0.055,0.0,0.0,0.0,0.34,-0.0,0.0,0.0,0.0,0.0,-0.043,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.065,-0.0,-0.0,0.0,0.0,-0.023,0.0,0.0,0.0,0.0,0.0,0.003,-0.0,0.0,0.0,0.03,0.106,0.0,0.0,-0.225,0.0,-0.0,0.0,0.0,-0.003,-0.04,-0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,-0.0,0.0,0.0,-0.0,0.048,0.0,-0.089,-0.0,0.005,0.631,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.155,602.758
2017-08-14,0.134,0.199,0.0,-0.018,0.084,-0.0,-0.0,0.167,0.0,0.0,0.272,0.006,-0.0,0.031,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.03,0.0,-0.0,0.244,0.0,-0.0,-0.057,0.341,0.0,0.059,0.106,0.0,0.0,0.0,-0.0,0.0,-0.0,0.129,0.0,0.0,-0.0,0.175,-0.027,0.21,0.0,0.192,0.216,0.0,0.0,0.0,0.0,-0.0,0.18,0.0,-0.096,-0.0,0.175,0.158,0.009,0.0,-0.0,0.0,0.0,0.0,0.0,0.12,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,-0.06,0.183,-0.0,-0.0,0.0,0.08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.146,0.0,-0.0,0.0,0.0,-0.003,0.08,-0.0,-0.0,0.006,-0.0,0.0,-0.0,-0.009,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.035,0.029,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.01,-0.231,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.072,0.0,-0.0,-0.0,-0.059,0.0,-0.0,-0.0,0.0,-0.047,0.134,-0.0,-0.025,0.0,0.0,0.0,0.0,-0.048,0.0,-0.088,0.122,0.0,-0.0,-0.1,0.0,0.0,-0.011,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.139,-0.0,0.0,0.221,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.137,0.0,0.063,0.0,-0.034,0.0,0.0,0.0,0.0,-0.04,-0.037,0.0,0.0,0.0,0.058,0.015,-0.012,-0.0,0.0,-0.212,-0.0,0.0,0.01,-0.035,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.268,0.133,-0.0,0.0,0.04,-0.0,-0.0,-0.0,0.0,0.0,0.009,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.036,0.0,0.0,-0.0,-0.011,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,606.882
2017-08-15,0.116,0.0,0.0,-0.029,0.0,-0.0,0.0,0.0,0.0,0.036,0.287,-0.021,-0.041,0.0,-0.0,0.024,0.0,-0.0,0.0,0.036,-0.042,0.0,0.007,0.054,-0.0,0.0,0.0,0.0,-0.086,0.355,0.013,0.061,0.093,0.0,0.291,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.099,-0.011,0.0,0.0,-0.111,0.0,0.0,0.0,-0.083,-0.0,-0.0,0.0,0.0,-0.016,0.0,0.0,0.052,0.0,0.174,0.0,0.0,0.0,0.0,0.0,0.017,0.081,0.021,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.003,0.0,0.083,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.343,-0.0,0.0,0.0,0.157,0.0,-0.055,0.0,0.0,-0.0,0.053,-0.04,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.025,-0.025,-0.0,0.0,-0.0,0.059,0.059,0.0,0.0,0.0,0.0,0.005,0.0,-0.004,0.0,0.0,-0.0,-0.254,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.002,0.0,-0.007,0.0,-0.0,0.236,0.0,0.0,0.0,0.0,0.13,0.05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.026,0.0,-0.048,0.0,-0.0,-0.0,0.0,0.0,-0.04,0.0,-0.0,0.0,-0.192,0.123,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.048,0.0,-0.001,-0.0,0.115,-0.0,-0.0,-0.071,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.012,0.19,-0.0,0.0,0.0,0.0,-0.0,-0.045,0.043,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.088,0.0,0.0,0.0,-0.0,-0.031,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.049,-0.007,-0.0,0.0,0.03,0.0,0.138,0.0,0.0,-0.059,0.0,0.0,0.0,0.0,0.0,0.0,-0.282,0.0,-0.0,0.006,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.168,0.0,0.0,0.0,0.001,-0.047,0.291,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0,0.0,0.839,0.0,610.638
2017-08-16,0.0,0.0,0.366,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.071,-0.013,0.0,0.0,0.028,0.305,0.0,-0.0,0.0,0.0,0.0,-0.0,0.271,0.213,0.0,-0.083,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.138,-0.04,0.0,0.038,0.0,-0.0,0.0,-0.0,0.338,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.184,-0.166,0.045,-0.0,0.0,0.181,0.0,0.242,0.156,0.0,0.0,0.0,0.0,0.0,0.158,0.164,0.247,0.04,0.0,0.049,0.004,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,-0.034,0.019,0.041,-0.055,-0.027,0.0,0.18,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.06,0.0,-0.0,0.081,-0.044,-0.0,0.0,-0.0,0.121,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,-0.0,0.0,0.0,-0.0,-0.213,-0.0,0.0,-0.061,-0.0,0.228,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.127,0.001,0.0,0.0,-0.028,-0.0,-0.0,-0.0,0.0,-0.012,-0.0,0.0,-0.0,0.0,0.018,-0.034,0.0,0.3,-0.0,0.0,-0.0,0.0,-0.162,0.129,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.27,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.068,0.017,0.0,-0.021,0.295,0.0,0.0,-0.049,-0.0,0.0,-0.0,0.042,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.083,0.0,0.056,0.008,-0.014,-0.005,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.094,0.0,0.0,0.0,0.0,0.019,-0.024,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.005,0.016,0.056,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.031,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,-0.0,0.074,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.146,0.04,0.0,0.0,616.012
2017-08-17,0.116,0.0,0.0,-0.0,0.156,-0.044,-0.0,0.0,0.0,0.0,0.0,-0.047,-0.067,0.0,-0.029,0.0,-0.006,0.0,0.0,0.035,-0.0,0.0,-0.026,0.0,-0.0,0.0,0.0,-0.0,-0.119,0.0,-0.0,-0.019,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,-0.147,-0.0,0.0,0.0,-0.173,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.147,0.0,0.0,0.275,0.039,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.348,0.0,-0.002,-0.0,0.0,0.008,0.0,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,-0.0,-0.0,0.0,-0.0,-0.055,0.0,0.0,0.0,0.0,0.354,-0.027,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.077,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.055,-0.0,-0.0,0.0,-0.049,0.0,0.0,0.028,0.0,-0.0,0.0,-0.04,0.0,-0.024,0.0,0.0,-0.052,-0.221,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.002,-0.013,-0.018,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.055,-0.0,-0.068,-0.0,-0.046,-0.0,0.0,-0.032,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.138,0.182,0.0,-0.0,-0.087,0.0,0.0,-0.021,0.099,0.0,-0.0,-0.053,0.0,-0.0,-0.003,-0.069,0.0,0.231,0.0,-0.003,0.0,0.0,-0.121,0.0,0.0,0.062,-0.0,0.0,-0.0,0.0,0.051,0.0,-0.0,-0.0,0.005,-0.054,0.0,0.0,0.0,0.029,0.0,-0.0,0.068,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.052,-0.0,-0.0,-0.003,-0.028,-0.0,0.0,0.055,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.001,0.128,-0.0,0.0,-0.334,0.185,0.0,0.0,0.0,-0.0,-0.065,-0.033,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.031,-0.0,-0.0,0.0,0.0,-0.0,0.042,0.0,-0.0,-0.034,0.0,0.0,0.0,-0.0,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.081,617.057
2017-08-18,0.0,0.146,0.0,-0.0,0.0,-0.0,-0.0,0.217,0.0,0.003,0.462,-0.038,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.058,-0.0,0.0,0.0,0.002,-0.107,0.0,-0.0,0.0,0.066,-0.0,0.0,0.12,-0.024,0.0,-0.0,0.0,0.031,0.141,-0.062,0.0,-0.0,0.0,0.0,0.137,0.275,0.0,0.168,0.0,0.0,0.125,0.0,0.063,-0.0,0.0,0.0,0.0,-0.166,-0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.387,0.127,0.054,0.0,0.0,0.0,0.035,-0.0,0.0,0.045,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.0,0.0,-0.0,-0.0,0.174,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,-0.0,0.093,-0.0,-0.0,-0.0,-0.017,0.0,-0.035,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.176,-0.054,0.0,-0.0,-0.0,0.223,-0.0,-0.042,0.0,0.0,0.0,-0.0,0.198,-0.0,0.0,0.0,-0.0,0.0,0.166,-0.0,-0.0,-0.0,-0.055,0.021,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.189,-0.0,0.141,-0.109,0.173,0.0,-0.0,-0.087,0.0,0.054,-0.028,0.134,0.0,-0.015,-0.0,0.0,-0.0,0.0,-0.0,0.233,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.039,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.084,0.0,-0.0,0.0,0.108,-0.004,0.0,0.451,0.0,0.054,0.0,0.0,0.0,-0.0,-0.063,0.0,0.0,0.0,0.0,-0.0,-0.06,-0.048,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.019,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.29,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.066,-0.003,0.0,-0.077,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.165,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.167,621.006
2017-08-21,0.0,0.0,0.0,-0.052,0.0,-0.0,-0.0,0.0,0.0,-0.019,0.443,-0.033,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.031,-0.0,0.0,-0.0,0.0,-0.0,0.146,0.216,0.0,-0.118,0.357,-0.045,0.012,0.0,-0.0,0.402,0.0,-0.0,0.0,-0.0,0.044,0.0,0.0,-0.0,0.0,0.0,0.368,0.0,0.167,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.054,-0.0,0.0,0.0,0.0,-0.202,0.028,0.015,0.0,0.0,0.0,0.0,0.184,0.085,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.123,0.049,0.0,0.0,0.0,0.0,-0.0,0.375,0.0,-0.037,0.002,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.015,0.061,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.042,-0.028,-0.0,0.046,-0.0,0.0,0.047,0.0,-0.0,-0.0,0.104,-0.0,0.0,-0.0,0.0,0.107,-0.033,-0.184,-0.0,0.011,-0.063,-0.0,0.238,-0.0,-0.0,0.0,0.0,-0.0,-0.018,0.0,-0.048,0.0,0.156,-0.0,0.0,0.0,-0.114,-0.084,-0.0,-0.0,-0.0,-0.0,-0.052,0.0,-0.0,0.128,-0.0,-0.037,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.157,0.171,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.088,0.0,0.0,0.0,-0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,-0.038,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.037,0.0,0.086,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.006,0.0,-0.0,0.0,0.0,0.0,0.129,0.0,0.0,-0.003,0.0,0.033,0.0,0.0,-0.0,0.0,-0.349,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.065,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.097,0.0,-0.0,0.032,-0.056,-0.0,0.0,0.053,-0.032,0.03,0.0,-0.0,-0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.696,0.0,624.799
2017-08-22,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.107,0.0,0.0,-0.0,-0.0,0.082,-0.0,0.0,0.0,0.071,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.034,0.0,0.0,0.0,-0.084,0.0,-0.0,-0.0,0.0,-0.0,0.434,0.0,-0.0,0.0,-0.049,0.0,0.0,0.0,-0.0,0.0,0.0,0.421,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.066,-0.0,0.0,0.0,0.0,-0.173,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035,0.004,0.0,-0.01,0.0,0.0,0.0,0.187,0.0,0.0,-0.0,0.139,0.0,0.0,0.0,-0.027,0.0,0.035,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.015,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.028,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.017,0.0,0.0,-0.0,-0.163,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.036,0.0,0.0,-0.0,0.0,0.164,-0.132,-0.0,-0.0,-0.0,-0.009,-0.0,-0.0,0.0,-0.0,0.0,-0.03,-0.0,0.0,0.352,-0.031,0.0,-0.069,0.193,-0.19,0.164,0.0,-0.0,-0.0,0.0,0.007,-0.027,0.0,0.0,-0.012,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.109,0.0,-0.045,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.051,0.0,0.115,0.0,0.0,-0.0,-0.0,-0.052,0.0,-0.254,-0.085,0.0,0.0,-0.066,0.0,0.0,0.0,0.091,0.0,0.0,-0.0,0.0,0.052,0.0,0.095,-0.0,0.0,-0.36,0.0,0.028,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.02,0.0,-0.0,0.0,0.0,-0.0,0.056,-0.049,-0.106,0.0,0.056,-0.0,0.0,0.0,-0.144,-0.033,0.0,0.31,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.0,626.823
2017-08-23,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.04,0.0,-0.0,0.0,0.0,0.0,0.292,0.052,-0.0,0.0,-0.016,0.0,-0.0,0.0,0.0,0.059,-0.059,0.0,-0.0,0.0,0.068,-0.0,0.0,0.0,-0.0,0.0,0.0,0.07,0.051,0.0,-0.023,0.0,0.046,0.0,0.0,0.161,0.0,0.152,0.0,0.109,0.0,0.0,0.0,0.0,-0.0,0.044,0.159,0.0,-0.135,0.097,0.0,0.01,0.0,0.0,0.302,0.0,0.0,0.144,0.137,-0.0,0.189,0.214,0.169,0.0,0.092,0.0,0.0,0.0,0.0,0.034,-0.0,0.0,0.0,-0.031,-0.013,0.0,-0.0,0.0,-0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.284,-0.023,-0.0,0.0,0.0,0.015,0.0,0.248,0.0,0.0,0.456,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,-0.0,-0.0,0.0,-0.0,0.179,-0.0,-0.0,0.0,-0.044,-0.0,0.0,0.0,0.0,0.0,0.0,0.067,-0.0,-0.011,0.0,-0.0,0.06,0.0,0.0,0.0,-0.0,-0.122,-0.0,0.0,-0.041,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.166,-0.0,0.0,0.239,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.021,-0.042,0.038,-0.025,0.099,0.022,-0.0,0.0,0.367,-0.0,0.0,-0.0,0.0,-0.173,0.145,0.0,-0.0,-0.0,0.161,0.0,-0.024,0.0,0.0,-0.001,-0.0,0.125,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.057,0.006,0.235,-0.0,0.0,0.086,0.0,-0.055,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.044,0.0,0.0,-0.0,0.0,0.0,0.0,0.084,0.0,0.003,-0.0,0.0,0.0,0.0,0.053,-0.0,0.0,-0.353,0.129,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03,0.0,-0.0,-0.0,-0.01,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.318,0.0,-0.0,0.002,0.0,-0.0,-0.04,-0.012,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,632.312
