2015-03-20,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.297,0.0,0.0,0.032,0.0,0.0,0.0,0.026,0.214,0.0,0.062,0.557,0.0,0.438,0.0,0.281,0.183,0.0,0.0,0.142,0.0,-0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.01,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0.0,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.294,0.0,0.0,0.103,0.0,0.186,0.0,0.0,0.0,0.136,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.104,0.035,-0.011,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.094,0.0,0.135,-0.0,0.0,0.0,0.0,0.095,0.0,0.317,0.0,0.0,0.035,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.47,0.272,0.205,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.051,0.168,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.126,0.0,0.0,0.0,0.0,0.385,0.322,0.101,0.0,0.062,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.275,0.051,0.0,0.221,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,1.387,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.152,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.275
2015-03-23,0.268,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.213,0.0,-0.0,0.0,0.0,-0.139,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,-0.0,0.0,0.16,0.0,0.0,-0.0,0.0,0.0,0.0,0.208,0.049,0.178,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.238,0.0,0.0,0.0,0.061,0.0,0.083,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.128,0.0,0.0,0.0,0.183,0.0,0.099,0.072,0.0,0.0,0.0,-0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.168,0.0,0.156,0.0,0.0,0.056,0.0,0.0,-0.0,0.0,0.0,0.0,0.071,0.078,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.388,0.175,0.0,0.0,0.0,0.0,0.089,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.103,0.118,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.121,0.0,0.056,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.43,0.0,0.194,0.0,0.0,0.136,0.0,0.0,0.023,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.186,0.108,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.0,-0.0,0.227,0.0,0.0,0.0,0.069,0.0,0.086,0.0,0.0,-0.001,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.028,0.0,0.147,0.206,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.066
2015-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,-0.0,0.017,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.268,0.0,0.042,0.071,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.074,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.108,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.042,0.147,0.12,0.0,0.0,0.0,0.072,0.133,0.0,0.0,0.018,0.0,0.0,-0.054,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.08,0.115,0.0,0.0,0.0,0.0,-0.0,0.0,0.031,0.0,-0.0,0.0,0.111,-0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.064,0.0,0.051,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,-0.0,0.0,0.117,-0.055,0.32,0.0,0.281,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.132,0.0,0.0,0.091,0.0,0.344,0.0,-0.0,0.156,-0.0,0.157,0.0,0.066,0.0,0.0,0.0,0.0,-0.0,0.0,0.013,0.13,0.0,0.0,0.0,0.044,-0.0,0.046,0.0,0.0,0.0,-0.0,0.353,0.537,-0.007,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.062,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.204,0.0,0.0,0.0,0.0,-0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,-0.083,0.0,0.0,0.0,0.0,0.046,0.0,0.116,0.0,0.0,-0.0,0.155,0.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.23,0.0,0.058,1.032,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,-0.019,141.383
2015-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.014,0.067,0.005,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.09,0.11,0.028,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,-0.084,-0.0,0.295,0.0,0.0,-0.029,-0.016,-0.007,0.0,0.0,-0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.109,0.127,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.014,-0.0,0.127,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.001,-0.0,0.0,0.0,0.0,-0.076,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.121,0.0,0.082,0.0,0.0,-0.026,0.328,0.0,0.0,0.167,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.311,0.0,0.0,0.186,0.0,0.098,0.0,0.099,0.0,0.212,0.0,0.0,0.0,0.0,0.171,0.051,0.0,0.07,0.269,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.0,0.0,0.0,-0.036,0.0,0.068,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.007,0.181,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.18,0.169,0.0,0.0,0.003,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.189,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.261,0.198,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.964,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.106,0.0,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,150.769
2015-03-26,0.0,0.133,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.201,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,-0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,-0.0,0.146,-0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,-0.0,-0.002,0.321,0.0,0.0,0.0,0.0,0.046,0.0,0.0,-0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.158,0.157,-0.0,0.163,0.025,0.0,0.0,0.026,0.0,-0.002,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.744,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034,0.0,0.0,0.029,0.111,0.0,0.0,0.126,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.211,0.158,0.0,0.013,0.147,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.14,0.233,0.097,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.35,0.0,0.0,0.0,0.183,0.142,0.0,0.0,0.09,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,-0.0,0.093,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,-0.0,0.0,0.0,-0.0,0.149,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.148,0.0,0.063,0.0,0.439,0.195,0.0,0.0,0.0,0.121,0.0,0.0,0.082,0.0,0.288,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.202,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.0,161.315
2015-03-27,0.297,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.158,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,-0.0,0.0,0.0,0.058,0.172,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.063,-0.0,0.217,0.0,0.0,0.0,-0.119,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,-0.0,0.0,-0.091,0.0,0.036,-0.0,-0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.369,0.0,0.0,0.0,0.0,0.0,-0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.062,0.0,0.0,-0.0,-0.0,-0.075,0.0,-0.007,0.0,0.0,0.0,0.0,0.075,0.01,0.0,0.0,0.0,0.348,0.0,0.0,0.0,0.226,0.121,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-0.0,0.041,0.0,0.135,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.001,0.0,0.001,0.113,0.0,0.0,-0.071,0.831,0.0,-0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.047,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,-0.102,0.0,0.0,0.0,0.091,0.085,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.581,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022,0.0,0.0,0.0,0.158,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.174,0.074,0.0,-0.0,0.0,0.0,0.097,0.369,0.113,0.0,0.088,0.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.729
2015-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.078,-0.0,0.062,0.123,0.0,-0.0,0.153,0.0,0.0,0.0,0.101,0.0,0.0,0.286,0.178,0.0,0.0,0.0,0.194,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,-0.0,-0.017,0.0,0.0,0.0,0.162,-0.0,-0.008,0.0,0.0,-0.0,0.0,0.087,0.0,0.037,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.221,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.12,0.0,0.066,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.255,0.0,0.0,0.0,-0.0,0.0,0.042,0.1,0.138,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.253,0.0,0.154,0.0,0.119,0.124,-0.0,0.199,-0.019,0.0,0.0,0.0,0.0,0.112,0.15,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.081,0.0,0.181,0.162,0.0,0.0,0.0,0.0,-0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.18,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,-0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,-0.0,0.0,0.0,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.093,0.033,0.0,0.0,0.0,0.223,0.178,0.0,0.445,-0.0,0.0,0.0,0.072,0.307,0.078,0.0,0.0,0.794,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,180.395
2015-03-31,0.0,0.0,0.0,0.097,0.0,0.135,0.0,0.0,0.0,0.105,0.0,0.036,0.0,0.0,0.009,0.0,-0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0,0.0,0.119,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.141,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.115,0.271,0.0,-0.016,0.0,0.0,0.0,0.223,0.174,0.0,0.0,0.027,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.078,0.0,0.006,0.0,0.0,0.0,-0.0,0.0,0.0,0.262,0.093,0.0,0.0,0.0,0.0,0.0,0.194,0.27,0.0,0.0,0.0,0.184,0.253,0.0,0.0,0.162,0.0,0.152,0.0,0.0,0.0,0.224,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.234,0.16,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.144,0.0,0.0,0.125,0.0,0.0,0.218,0.0,0.217,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.228,0.0,0.004,0.0,0.0,-0.007,0.122,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.308,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.0,0.164,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.481,0.0,0.0,0.0,0.376,0.089,0.0,0.0,0.0,0.072,0.244,0.848,0.0,0.585,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.263,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.421,0.0,0.0,0.0,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.793
2015-04-01,0.0,0.076,0.0,0.086,0.0,0.0,0.0,0.069,0.086,0.102,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,-0.0,0.198,0.0,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.091,0.0,0.0,0.0,-0.032,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.103,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.136,0.0,0.0,0.367,0.0,0.0,0.045,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.212,0.0,0.0,0.0,0.0,0.153,0.102,0.22,0.0,0.0,0.095,0.0,0.0,0.198,0.0,0.272,0.0,0.0,0.0,0.128,0.0,0.025,0.213,0.0,0.111,0.056,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.304,0.0,0.0,0.0,0.0,0.0,0.0,-0.014,0.0,0.085,0.0,0.109,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.131,0.032,0.0,0.0,0.0,-0.0,0.914,0.0,-0.0,0.0,0.0,0.0,0.088,0.1,0.0,0.0,0.0,0.0,0.145,0.39,0.108,0.007,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.153,0.0,0.0,-0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.217,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.29,0.148,0.23,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.717
2015-04-02,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.004,0.0,0.0,0.0,0.0,-0.019,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0,0.014,0.135,-0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.054,-0.0,-0.0,0.0,0.0,0.0,-0.082,-0.0,0.0,-0.0,0.0,0.174,0.0,0.04,0.0,0.005,0.0,0.0,0.0,-0.021,-0.018,-0.0,0.0,-0.0,0.173,0.0,0.0,0.0,-0.0,0.301,0.0,0.0,0.0,0.483,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.181,0.128,0.0,0.0,0.0,0.0,-0.0,-0.08,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.214,0.0,0.234,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.16,0.0,0.184,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.092,0.125,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.091,0.0,0.104,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.133,0.0,0.0,-0.0,0.071,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.342,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.215,0.097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.074,0.0,0.088,0.0,0.0,-0.01,-0.0,0.089,0.502,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.242,0.558,0.016,0.0,0.0,0.0,0.205,0.0,0.083,0.0,0.0,0.0,-0.058,0.0,0.0,0.0,0.215,0.0,0.093,0.738,-0.0,0.098,0.0,0.069,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.179,213.271
2015-04-03,0.0,0.0,0.0,0.0,0.05,0.0,0.048,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,-0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.011,0.0,0.0,0.0,-0.014,0.0,-0.049,0.0,0.0,-0.068,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.035,0.0,0.0,0.058,0.0,0.0,-0.032,0.0,0.0,0.0,0.0,-0.0,-0.045,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.003,0.357,0.0,0.0,0.0,0.0,0.062,0.0,0.636,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.083,-0.136,-0.021,0.0,0.0,0.0,-0.0,-0.083,0.0,0.064,0.0,0.0,0.122,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.327,0.336,0.045,0.0,0.0,0.0,0.0,0.679,0.128,0.0,0.0,0.0,0.068,0.0,0.0,-0.001,0.0,0.0,0.167,0.0,0.202,0.241,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.454,-0.0,0.0,0.0,0.298,0.0,0.0,-0.0,0.0,0.063,0.0,0.0,0.078,0.0,0.0,-0.0,0.0,0.0,0.0,0.064,0.278,0.0,0.0,0.0,0.0,0.0,0.133,0.056,-0.0,0.0,0.0,0.04,0.469,0.0,-0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.029,0.08,0.184,0.0,0.234,0.0,0.206,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.002,0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.066,0.0,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.101,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.085
